volcano_name;eruption_number;eruption_category;area_of_activity;vei;start_year;start_month;start_day;evidence_method_dating;end_year;end_month;end_day;latitude;longitude
Ambrym;15242;Uncertain Eruption;NA;NA;1870;0;0;NA;NA;NA;NA;-16.25;168.12
Ambae;15234;Confirmed Eruption;"SE side Lake Manaro Lakua; Lake Voui?";2;1870;0;0;Historical Observations;NA;NA;NA;-15.389;167.835
Iliwerung;16337;Confirmed Eruption;Iliwerung (Iliadowajo);3;1870;0;0;Historical Observations;NA;NA;NA;-8.53;123.57
Gamalama;16650;Discredited Eruption;NA;NA;1870;0;0;NA;NA;NA;NA;0.8;127.33
San Pedro-San Pablo;11831;Uncertain Eruption;NA;NA;1870;0;0;NA;NA;NA;NA;-21.888;-68.391
Momotombo;10996;Confirmed Eruption;NA;2;1870;0;0;Historical Observations;NA;NA;NA;12.423;-86.539
Cotopaxi;11575;Confirmed Eruption;NA;2;1870;0;0;Historical Observations;1876;0;0;-0.677;-78.436
Purace;11322;Confirmed Eruption;NA;3;1869;10;4;Historical Observations;1869;11;0;Feb.32;-76.4
Ubinas;11789;Confirmed Eruption;NA;2;1869;10;0;Historical Observations;NA;NA;NA;-16.355;-70.903
Etna;13746;Confirmed Eruption;East flank (W wall of Valle del Bove);0;1869;9;26;Historical Observations;1869;9;26;37.748;14.999
Lamongan;16083;Confirmed Eruption;NA;2;1869;9;12;Historical Observations;NA;NA;NA;-7.981;113.341
Misti, El;11772;Uncertain Eruption;NA;1;1869;9;0;NA;NA;NA;NA;-16.294;-71.409
Maipo;11908;Uncertain Eruption;NA;2;1869;8;24;NA;NA;NA;NA;-34.164;-69.832
Isluga;11825;Confirmed Eruption;NA;2;1869;8;0;Historical Observations;NA;NA;NA;-19.15;-68.83
Tongariro;13434;Confirmed Eruption;Ngauruhoe;2;1869;8;0;Historical Observations;NA;NA;NA;-39.157;175.632
Guagua Pichincha;11489;Confirmed Eruption;NA;2;1869;7;22;Historical Observations;1869;8;24;-0.171;-78.598
Lewotobi;16285;Confirmed Eruption;Lewotobi Lakilaki;2;1869;7;7;Historical Observations;1869;7;27;-8.542;122.775
Cotopaxi;11574;Confirmed Eruption;NA;3;1869;7;0;Historical Observations;1869;8;0;-0.677;-78.436
Colima;10439;Confirmed Eruption;NE flank (El Volcancito);3;1869;6;12;Historical Observations;1869;8;24;19.514;-103.62
Baker;20463;Uncertain Eruption;Sherman Crater;NA;1869;6;0;NA;NA;NA;NA;48.777;-121.813
Myojinsho;18309;Confirmed Eruption;Volcano Uncertain;0;1869;5;6;NA;NA;NA;NA;31.888;139.918
Asamayama;17752;Confirmed Eruption;NA;2;1869;5;0;Historical Observations;1869;10;23;36.406;138.523
Lamongan;16082;Confirmed Eruption;Summit and south slope;2;1869;4;6;Historical Observations;1869;5;4;-7.981;113.341
Llaima;12031;Confirmed Eruption;NA;2;1869;4;0;Historical Observations;NA;NA;NA;-38.692;-71.729
Izalco;10793;Confirmed Eruption;Summit and east flank;2;1869;3;1;Historical Observations;1869;6;18;13.813;-89.633
Guagua Pichincha;11488;Confirmed Eruption;NA;2;1869;3;0;Historical Observations;NA;NA;NA;-0.171;-78.598
Tinakula;15193;Confirmed Eruption;NA;2;1869;3;0;Historical Observations;NA;NA;NA;-10.386;165.804
Villarrica;12130;Confirmed Eruption;NA;2;1869;2;4;Historical Observations;1869;2;24;-39.42;-71.93
Antuco;19911;Confirmed Eruption;NA;2;1869;0;0;Historical Observations;NA;NA;NA;-37.406;-71.349
Planchon-Peteroa;11935;Uncertain Eruption;NA;NA;1869;0;0;NA;NA;NA;NA;-35.223;-70.568
Reclus;12310;Confirmed Eruption;NA;2;1869;0;0;Historical Observations;NA;NA;NA;-50.964;-73.585
Osorno;12237;Confirmed Eruption;NA;2;1869;0;0;Historical Observations;NA;NA;NA;-41.105;-72.496
Tongariro;13433;Confirmed Eruption;NE flank (Upper Te Mari Crater);2;1869;0;0;Historical Observations;NA;NA;NA;-39.157;175.632
Fournaise, Piton de la;14288;Confirmed Eruption;NA;2;1869;0;0;Historical Observations;NA;NA;NA;-21.244;55.708
Gorely;19017;Confirmed Eruption;NA;2;1869;0;0;Historical Observations;NA;NA;NA;52.559;158.03
Hood;20575;Uncertain Eruption;NA;NA;1869;0;0;NA;NA;NA;NA;45.374;-121.695
Izu-Oshima;18204;Uncertain Eruption;Mihara-yama;NA;1868;12;31;NA;NA;NA;NA;34.724;139.394
Mayon;16779;Confirmed Eruption;NA;2;1868;12;17;Historical Observations;NA;NA;NA;13.257;123.685
